#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
-3,1,72.52335
-38,2,72.525087
-2,5,72.532504
2,9,72.542933
-5,10,72.554691
-23,13,72.568283
3,39,72.613159
-22,22,72.637616
21,21,72.661524
-2,2,72.663413
-4,2,72.668083
-7,4,72.67155
9,11,72.683957
-2,6,72.692115
-6,1,72.693121
-32,2,72.695107
-7,7,72.704325
-32,7,72.710279
4,9,72.721419
-2,2,72.726534
22,18,72.744533
-3,3,72.750436
2,5,72.754417
-8,2,72.756661
-2,4,72.762746
18,18,72.783983
-39,1,72.784842
0,2,72.78641
5,11,72.799077
-5,1,72.79998
40,32,72.840328
-2,8,72.850676
-32,8,72.860374
-3,3,72.862692
-1,3,72.865519
64,10,72.877105
-33,4,72.883618
12,24,72.909729
0,10,72.921559
4,9,72.932216
-5,1,72.93313
196,30,72.968256
-8,2,72.969896
-5,1,72.974109
16,12,72.986701
-1,12,72.999455
-16,20,73.020575
-61,1,73.021956
-29,5,73.028732
48,33,73.078877
-5,1,73.080836
-34,1,73.082027
-29,4,73.085716
8,7,73.094322
-36,5,73.100979
45,35,73.13625
16,26,73.166732
11,10,73.176656
-18,12,73.187934
2,5,73.191546
12,9,73.200567
4,5,73.206735
-5,1,73.207514
2,6,73.214419
13,14,73.227007
12,8,73.235282
-2,5,73.238973
-5,1,73.239817
-44,21,73.259885
2,20,73.279212
-34,1,73.282518
45,33,73.314603
-3,1,73.31548
4,7,73.323408
4,6,73.32815
-6,3,73.332954
-6,1,73.333763
-6,1,73.334531
-3,3,73.337984
-2,4,73.341085
-29,6,73.348551
-28,7,73.35628
-46,14,73.368778
12,10,73.379626
12,7,73.388376
-20,8,73.398228
-5,1,73.399114
-34,1,73.399997
-3,9,73.40992
-10,20,73.431231
14,12,73.442555
34,6,73.449424
7,7,73.454815
5,9,73.463975
8,22,73.484645
-8,2,73.489466
5,17,73.504582
1,7,73.513
-39,1,73.513831
-29,8,73.522558
3,3,73.524811
-3,3,73.526961
2,6,73.533963
13,22,73.56095
17,11,73.577734
2,7,73.59054
21,27,73.632252
8,10,73.647025
15,17,73.670525
10,39,73.732035
35,22,73.769473
0,3,73.772584
21,22,73.807684
7,8,73.821088
-5,3,73.825107
33,2,73.826985
29,29,73.864447
-35,5,73.871674
39,31,73.906791
-39,1,73.908059
13,28,73.941076
-15,16,73.960203
101,37,74.002871
-6,1,74.003711
-27,6,74.011008
-37,5,74.014848
20,19,74.033791
14,14,74.048839
-2,2,74.050358
-3,1,74.051121
-3,1,74.051922
12,20,74.071372
120,46,74.116536
31,25,74.140798
-30,6,74.148025
0,8,74.15374
18,26,74.179707
12,11,74.19029
2,7,74.197951
27,20,74.217263
4,6,74.221526
-6,5,74.227655
-13,15,74.242174
0,2,74.247242
-39,1,74.248105
9,10,74.260119
2,6,74.264633
-38,2,74.26983
1,6,74.275241
48,56,74.344213
-34,3,74.346612
24,18,74.368275
-1,3,74.37083
18,16,74.390131
-5,4,74.393883
-24,13,74.407465
1,6,74.415441
-452,31,74.450242
2,7,74.459351
5,8,74.469031
-4,4,74.472703
44,28,74.504633
-59,16,74.519724
-7,20,74.541664
3,5,74.549004
8,23,74.572936
-5,3,74.578666
-4,2,74.580349
-5,1,74.581118
27,16,74.596576
-2,4,74.60242
54,38,74.643465
-2,8,74.649233
-34,1,74.652624
-4,3,74.65486
-6,1,74.655625
12,10,74.666423
27,29,74.697153
-20,13,74.709088
-4,3,74.711268
22,33,74.749584
190,52,74.800365
66,25,74.825227
26,31,76.114363
3,13,76.126562
-37,4,76.12968
0,5,76.135979
3,8,76.144317
-5,1,76.145117
0,6,76.14936
29,36,76.200747
21,12,76.21853
-5,3,76.222291
-3,1,76.223231
29,21,76.256735
-28,8,76.264965
2,4,76.273585
-4,7,76.281089
-58,13,76.303596
35,29,76.344431
4,13,76.361194
8,21,76.390408
8,9,76.403066
-61,1,76.404058
-29,3,76.40773
15,22,76.440858
-21,8,76.44903
-3,3,76.456276
3,9,76.469122
4,12,76.485022
-4,2,76.486779
79,18,76.507139
-4,3,76.509461
6,8,76.517823
3,13,76.529935
-5,2,76.531401
41,15,76.547373
4,6,76.551721
19,16,76.568386
22,16,76.584903
-63,2,76.586379
-32,3,76.588546
10,20,76.607559
-19,13,76.619182
-3,6,76.626674
-4,6,76.63372
24,18,76.649014
8,22,76.683171
-20,10,76.698467
6,6,76.705717
-23,6,76.716148
1,5,76.72263
5,9,76.737432
-36,28,76.778883
4,5,76.787796
10,11,76.804348
-19,13,76.821331
-4,2,76.824076
0,4,76.831917
-3,7,76.839118
11,11,76.853825
14,16,76.878937
13,19,76.905174
12,19,76.932212
6,12,76.949458
-29,5,76.956878
11,15,76.977214
-2,3,76.979555
46,33,77.018338
32,20,77.043442
22,21,77.065433
5,8,77.071144
7,13,77.085667
-4,5,77.089248
-38,3,77.094112
3,9,77.100549
-3,5,77.106734
-4,4,77.10961
12,11,77.120008
0,6,77.126805
-6,1,77.127578
24,21,77.14773
4,13,77.162202
51,52,77.213635
-34,5,77.217405
0,2,77.218859
-1,5,77.225972
-3,7,77.234408
-26,26,77.260413
3,4,77.266299
-4,2,77.268308
13,9,77.278171
-21,12,77.291856
34,8,77.301876
-5,1,77.302711
0,29,77.33899
-5,4,77.342195
-8,2,77.343791
-30,10,77.355427
-23,18,77.376654
-38,2,77.37833
4,10,77.389096
-31,5,77.396474
37,47,77.450475
30,29,77.477842
12,13,77.493764
29,27,77.523912
8,11,77.543994
-1,11,77.560612
-5,1,77.561928
-3,1,77.562878
-4,3,77.567905
76,52,77.645801
-27,36,77.696639
12,8,77.708718
1,6,77.715043
5,11,77.731558
-6,8,77.744106
56,50,77.811476
-35,2,77.813147
-5,3,77.818959
11,17,77.836396
-5,1,77.840073
10,14,77.853837
-61,9,77.863139
-529,5,77.86675
26,32,77.915786
14,25,77.952381
9,12,77.96955
29,37,78.024275
-24,18,78.054568
4,33,78.102547
-1,5,78.110879
-7,8,78.11753
-18,15,78.134165
-39,1,78.134943
-1,4,78.137941
15,25,78.167192
15,18,78.187205
-6,4,78.190361
-1,5,78.196657
-4,3,78.198833
27,30,78.230381
-3,2,78.233266
-5,2,78.235069
3,5,78.243608
-4,2,78.246139
-4,6,78.256544
-2,2,78.259305
0,4,78.263984
47,22,78.297352
-1,2,78.303137
34,23,78.336846
25,35,78.389497
-38,8,78.402153
-34,5,78.413453
11,11,78.428619
21,25,78.461884
-4,5,78.469145
-1,5,78.473161
-33,3,78.478828
-2,5,78.482656
2,8,78.491791
13,11,78.503882
7,16,78.523081
38,25,78.546629
67,29,78.591309
-51,12,78.611126
85,40,78.669969
-23,7,78.681163
-5,8,78.693632
6,12,80.227099
-59,2,80.228829
-30,15,80.245239
32,25,80.268239
24,22,80.288851
64,8,80.297055
-57,14,80.309514
4,14,80.324504
-5,9,80.334425
10,17,80.349623
-15,29,80.380002
-6,9,80.389382
5,12,80.400584
-28,11,80.413532
-50,11,80.423908
11,22,80.45298
-34,6,80.460133
-22,11,80.48008
11,21,80.512206
21,47,80.577829
17,22,80.612013
9,12,80.628142
-4,2,80.630593
-1,6,80.641456
-2,2,80.644017
21,25,80.677712
15,17,80.702586
-2,7,80.714396
0,4,80.71839
78,31,80.760562
-5,1,80.761683
-20,11,80.773564
-6,2,80.778993
18,17,80.803685
49,25,80.829608
2,6,80.833874
-30,13,80.848327
-28,4,80.851204
0,7,80.858932
7,6,80.863191
-6,5,80.869448
-4,3,80.871635
56,10,80.881412
-1,14,80.896544
-6,2,80.898099
-6,1,80.898864
18,16,80.912716
-37,15,80.928575
-23,13,80.940526
26,24,80.966137
-6,1,80.966958
-6,13,80.979376
3,6,80.98638
-3,5,80.990012
1,8,80.998492
-2,7,81.006401
14,19,81.025297
-59,9,81.031816
-60,2,81.035989
13,26,81.05986
-2,8,81.068324
5,4,81.07123
-2,7,81.079819
3,5,81.086959
-6,1,81.087854
-28,4,81.090692
-9,4,81.096499
-22,11,81.107184
12,24,81.12955
-3,3,81.131702
2,6,81.138662
4,7,81.146229
-3,6,81.150479
10,14,81.165551
30,31,81.195415
63,44,81.236678
-23,14,81.251688
30,26,81.275338
14,10,81.285184
-4,3,81.287413
-532,4,81.293056
-26,11,81.303456
-4,3,81.30564
28,26,81.331704
29,21,81.351912
-4,3,81.354068
-5,1,81.354824
51,62,81.416584
-4,3,81.418802
6,4,81.421667
-39,1,81.422418
-2,6,81.42926
7,8,81.437515
62,12,81.448647
14,11,81.459033
0,9,81.468061
-5,5,81.471625
-58,6,81.478551
8,7,81.486146
-6,5,81.489689
-528,4,81.495159
-25,9,81.504072
-33,2,81.505562
30,29,81.533699
-3,3,81.535859
40,39,81.573674
72,10,81.583508
-25,7,81.591052
61,28,81.616051
-6,2,81.620134
5,6,81.624455
53,29,81.652584
-26,25,81.677977
-4,5,81.681611
-2,2,81.683054
-5,1,81.683843
-34,2,81.687959
-3,5,81.691515
12,16,81.708152
-4,29,81.741334
28,23,81.763003
7,9,81.772156
-30,5,81.77581
-5,8,81.784235
72,14,81.796718
33,27,81.823586
-1,6,81.830587
5,11,81.841227
61,36,81.874722
29,48,81.922032
0,9,81.931031
10,16,81.949512
6,15,81.964498
15,10,81.974253
-24,14,81.989583
-5,6,81.994299
-4,2,81.995791
14,51,82.047827
15,17,82.062556
-33,2,82.064069
55,59,82.12149
2,6,82.128497
1,3,82.130685
-6,1,82.131443
6,10,82.141125
69,13,82.155496
62,7,82.160473
-2,2,82.164567
24,26,82.190569
-1,8,82.201896
-60,3,82.20625
-8,17,82.233598
10,9,82.248665
1,5,82.255053
-2,2,82.261554
-37,5,82.26764
-30,3,82.270439
-27,6,82.281855
-5,10,82.296821
10,17,82.32067
12,21,82.351348
-33,2,82.353223
1,5,82.359014
79,15,82.381953
-3,4,82.386395
52,56,83.738693
66,16,83.761895
-2,4,83.765361
-6,3,83.767672
-4,5,83.774532
2,6,83.77887
21,13,83.793828
-3,1,83.794607
-3,3,83.79685
35,9,83.806001
-14,13,83.818116
104,45,83.863873
-5,18,83.881928
0,3,83.884237
-16,14,83.896942
-36,3,83.901793
-1,3,83.903995
1,10,83.913666
-29,6,83.917989
5,5,83.924313
19,23,83.94572
28,27,83.972608
-34,1,83.973422
-1,3,83.975559
10,7,83.983255
-8,24,84.005651
-3,2,84.010307
1,9,84.019387
-4,3,84.021635
3,10,84.031386
16,13,84.043263
-2,2,84.04479
-8,7,84.052445
-32,2,84.053915
-26,18,84.072128
-4,5,84.078406
-2,2,84.079946
-20,14,84.092465
-59,6,84.099318
7,4,84.102201
-29,4,84.107625
-2,7,84.112782
-2,3,84.117586
20,22,84.139604
-4,3,84.141835
-2,5,84.148156
-1,5,84.151711
15,17,84.169136
-4,2,84.170639
-5,3,84.172884
4,8,84.181257
7,12,84.192391
-24,14,84.209223
1,20,84.228868
-28,5,84.232536
-6,1,84.233301
56,2,84.234749
-26,26,84.262532
0,2,84.264061
-54,5,84.270441
7,11,84.281075
60,10,84.290921
15,16,84.304976
-2,7,84.312619
14,7,84.320368
8,9,84.330569
61,18,84.348866
-4,4,84.351743
-2,4,84.354655
-5,1,84.35541
-3,1,84.358807
1,6,84.363116
-31,3,84.365326
25,31,84.397826
-58,4,84.400809
10,14,84.416554
17,16,84.442013
0,2,84.444546
-2,2,84.446997
-24,6,84.457783
-5,3,84.462438
103,24,84.502477
8,12,84.520511
-6,1,84.52147
-2,6,84.53169
-35,7,84.539518
-1,5,84.548428
6,10,84.563242
7,6,84.569833
31,23,84.612846
87,27,84.667959
-4,2,84.675345
-29,16,84.69461
-5,2,84.696231
42,37,84.737674
-39,1,84.738509
-5,1,84.739372
9,15,84.75574
14,19,84.774582
3,7,84.782106
7,9,84.796829
-27,5,84.806136
21,15,84.829373
4,5,84.841962
-37,7,84.854559
3,4,84.866487
-62,5,84.87235
7,9,84.884885
-2,2,84.886658
1,6,84.899932
28,35,84.954305
-31,7,84.962641
-5,4,84.970774
-34,1,84.971915
54,68,85.069745
7,7,85.075266
-54,9,85.085071
-1,3,85.087536
-40,3,85.09268
-5,34,85.125109
6,7,85.132965
-34,6,85.137303
-38,6,85.144347
0,4,85.147222
7,16,85.164327
3,11,85.174965
18,24,85.200258
5,7,85.205282
-6,3,85.21031
59,9,85.221286
23,29,85.271323
-5,2,85.277717
4,15,85.297558
-5,4,85.302579
5,10,85.317509
-39,5,85.327023
-1,6,85.337387
-25,8,85.346493
-33,2,85.35254
16,8,85.361748
-20,10,85.376431
-29,5,85.386161
25,21,85.417044
27,24,85.452743
80,68,85.530212
-34,4,85.535928
-34,1,85.536742
-5,4,85.539616
-13,7,85.547351
-20,15,85.560851
-4,2,85.562368
0,6,85.569444
-4,4,85.572409
-5,1,85.575897
8,10,85.585832
9,14,85.598594
6,8,85.606972
41,8,85.615395
1,5,85.619058
-4,2,85.620539
16,19,85.639478
-25,9,85.648625
74,24,85.671243
8,11,85.68478
3,5,85.688684
5,6,85.69972
-6,1,85.700651
1,3,85.704419
86,53,85.785218
-31,3,85.792696
0,6,85.798996
22,15,85.824281
-4,4,85.828703
-1,7,85.840005
-1,2,85.84262
60,6,85.85267
-5,1,85.853828
5,11,85.86885
-4,8,85.881913
-7,2,85.883967
-2,2,85.885806
21,13,85.903247
4,5,85.91379
-5,1,85.914724
-4,2,85.916698
72,35,85.969087
7,8,85.975736
3,15,85.993158
44,39,86.032756
-3,4,86.035643
11,9,86.044983
2,6,86.052001
37,4,86.054926
7,7,86.062737
-36,4,86.065667
2,9,86.074756
13,13,86.086699
-13,25,86.112726
-5,1,86.113514
-15,17,86.130938
9,9,86.140039
12,12,86.151382
-2,12,86.162981
3,10,86.172924
0,5,86.179407
8,21,87.675968
1,7,87.684521
-6,7,87.69554
-25,12,87.713243
66,66,87.816828
6,10,87.831271
-14,25,87.865144
-4,5,87.874006
0,3,87.876897
-8,4,87.885278
2,10,87.897628
-6,7,87.902979
-3,5,87.90996
5,12,87.921782
-7,2,87.923297
-32,4,87.929012
15,19,87.94697
7,11,87.961416
26,24,87.984023
-19,10,87.994122
0,3,87.996375
-14,10,88.006653
-5,2,88.008283
-33,5,88.014678
-34,12,88.026102
-6,1,88.026921
43,9,88.03627
-6,3,88.038535
22,28,88.067875
10,8,88.076386
-5,1,88.077175
6,8,88.085729
-21,16,88.102762
8,8,88.108955
6,13,88.124205
-5,1,88.125029
13,15,88.138465
1,3,88.143349
87,35,88.176318
17,18,88.194424
-1,7,88.202136
-34,1,88.203044
5,5,88.206711
6,6,88.213982
0,6,88.218961
-3,6,88.22628
-27,10,88.236296
-33,11,88.246851
68,22,88.268786
3,9,88.280416
-5,1,88.281212
30,41,88.326355
43,31,88.365716
3,10,88.375896
0,3,88.381059
-5,7,88.386143
-5,3,88.391121
-5,2,88.392675
-39,1,88.393445
-4,2,88.394908
78,38,88.445599
-8,2,88.448419
22,18,88.474473
31,34,88.521646
58,12,88.542178
-33,2,88.544915
11,10,88.560009
80,34,88.609624
66,6,88.61902
-6,3,88.622903
-18,15,88.642926
3,13,88.657544
-6,1,88.658378
104,29,88.692535
-36,4,88.695594
67,23,88.725647
169,69,88.797316
4,7,88.802315
-5,1,88.803082
-2,17,88.822012
20,33,88.85374
5,12,88.867893
3,8,88.873637
10,46,88.921328
0,4,88.924358
-3,3,88.929463
0,3,88.931693
8,9,88.940995
32,9,88.950136
1,7,88.9551
-2,6,88.962101
12,12,88.973747
-33,2,88.975232
83,33,89.009867
-24,6,89.014248
-6,1,89.01506
-3,1,89.018555
2,8,89.024302
0,9,89.033465
5,6,89.040581
-4,3,89.042753
3,14,89.058274
11,14,89.071001
-3,6,89.077992
-4,5,89.081661
88,20,89.101332
48,43,89.14285
-2,12,89.156866
13,12,89.16817
-1,5,89.171774
-32,18,89.189945
-6,9,89.19911
60,15,89.212546
-36,3,89.217661
-1,4,89.220586
1,5,89.227008
-4,6,89.231366
-3,4,89.237002
-2,8,89.24267
-496,30,89.271939
-33,5,89.278239
93,55,89.331351
-1,5,89.337824
-44,13,89.349871
-5,3,89.355011
-6,1,89.355955
-3,1,89.356899
-3,10,89.36763
-6,1,89.368479
-5,1,89.369244
7,18,89.38763
-38,2,89.389154
-32,4,89.392077
7,10,89.401958
-16,14,89.417546
74,14,89.430516
2,4,89.43634
-5,4,89.439293
-5,6,89.44631
-6,4,89.449266
2,4,89.452175
-3,9,89.461299
-3,6,89.468345
0,6,89.47276
-5,1,89.476227
-5,1,89.47703
-55,7,89.482067
-4,11,89.492644
-5,2,89.49689
2,4,89.499787
-2,6,89.506897
72,6,89.511193
-1,4,89.516897
-6,1,89.517683
12,14,89.53123
22,2,89.532819
2,5,89.539426
-2,2,89.541359
11,10,89.552064
-1,7,89.560012
-2,5,89.563577
28,20,89.58517
3,12,89.598423
0,9,89.609181
-37,2,89.614269
0,9,89.621734
-2,7,89.630668
-2,5,89.638039
44,56,89.704378
-23,11,89.723778
1,3,89.731011
-34,1,89.731986
-40,2,89.733559
-29,11,89.746384
2,9,89.75711
44,33,89.794631
10,17,89.814908
3,12,89.82756
8,7,89.836892
-4,3,89.839427
-24,13,89.852599
-3,7,89.861425
-31,6,89.870039
-27,9,89.880368
2,7,89.886144
0,11,89.898266
-29,2,89.904378
21,21,89.929842
-4,2,89.931893
12,18,89.955106
47,7,91.221815
4,8,91.230727
101,37,91.268119
-3,6,91.275152
-4,3,91.277493
-2,3,91.279637
-1,5,91.285925
-4,2,91.287393
3,5,91.290935
-3,6,91.2979
0,6,91.304892
12,10,91.314619
-5,2,91.316154
1,9,91.325306
-5,2,91.326779
4,4,91.329703
-3,1,91.330456
-2,3,91.33536
-40,15,91.349476
-5,1,91.350253
24,22,91.37163
-3,1,91.375188
10,10,91.385005
-34,1,91.385807
11,15,91.398962
9,17,91.41646
5,11,91.426976
-5,1,91.427783
11,16,91.444751
-2,9,91.453865
17,31,91.483912
-1,6,91.488185
-20,9,91.497341
-5,2,91.498814
-21,20,91.51836
-5,1,91.519139
1,10,91.529959
-5,2,91.536345
-4,12,91.555038
-5,9,91.569189
-2,11,91.586939
-2,5,91.593379
3,19,91.617476
-2,2,91.61905
7,15,91.637666
4,5,91.642323
0,3,91.648179
-5,3,91.650476
-5,4,91.653495
4,8,91.663536
-4,5,91.670671
24,16,91.686951
7,17,91.706996
-5,1,91.707858
14,15,91.727281
-36,2,91.728824
-26,8,91.738458
-2,5,91.743007
10,10,91.757581
16,15,91.78296
16,11,91.800725
40,5,91.807362
4,7,91.822794
12,17,91.850626
-3,4,91.854422
-28,6,91.867102
16,24,91.90136
56,16,91.92908
39,37,91.98467
3,10,92.001632
0,23,92.033835
-34,1,92.035055
10,8,92.049608
5,10,92.062556
7,10,92.074335
41,41,92.125654
-7,6,92.131283
12,17,92.151684
-5,2,92.153728
-7,3,92.156478
-35,15,92.178703
4,3,92.181043
-1,7,92.190679
21,17,92.212108
4,13,92.225905
32,25,92.25065
-533,2,92.256008
-33,2,92.25757
5,10,92.269626
23,29,92.303942
16,15,92.323375
-23,10,92.336169
-5,4,92.343001
-1,6,92.348285
-11,22,92.374297
-1,5,92.383415
1,7,92.393553
27,19,92.415338
8,26,92.443607
10,13,92.457462
-5,1,92.461248
2,6,92.466361
-61,1,92.467293
-6,4,92.473991
15,22,92.497641
-2,4,92.500707
-38,2,92.502241
9,11,92.515803
81,41,92.556098
9,12,92.568243
-2,3,92.570463
-2,7,92.579321
0,5,92.583781
10,13,92.605043
17,12,92.624075
-5,4,92.628818
6,6,92.638539
-14,33,92.688973
-34,3,92.692687
-5,4,92.700791
1,5,92.706652
-7,2,92.712968
-2,6,92.718734
-34,1,92.720204
-3,1,92.721431
10,14,92.745829
-8,2,92.74849
-2,4,92.752692
78,23,92.790292
17,10,92.804954
-33,2,92.806982
7,8,92.820542
-49,13,92.840182
-1,5,92.84714
-2,5,92.856368
3,7,92.86494
-4,8,92.871011
18,14,92.888266
20,21,92.909046
-25,5,92.91277
1,6,92.919891
7,10,92.92987
-6,1,92.930646
16,11,92.941677
1,10,92.951584
8,16,92.968428
-6,1,92.969285
-5,1,92.970103
0,10,92.979964
0,5,92.986216
0,8,92.992021
-10,3,92.997134
-39,1,92.997908
10,13,93.00988
21,15,93.02596
-4,5,93.029551
-39,1,93.030308
9,9,93.040299
-6,1,93.04112
0,5,93.049009
-1,14,93.069036
-2,3,93.074391
11,22,93.111291
-59,2,93.113851
-32,3,93.117534
0,12,93.135409
-1,5,93.143974
13,13,93.160278
-24,8,93.174853
31,33,93.222819
-3,3,93.226679
-41,2,93.232771
3,10,93.247467
2,9,93.261446
-6,1,93.262353
10,10,93.276423
-3,1,93.277768
2,6,93.284732
-6,1,93.285587
-38,8,93.298529
45,9,93.312192
8,12,93.330229
104,45,93.394783
2,4,93.400007
19,24,93.440728
-4,2,93.442691
-2,9,93.456317
47,47,93.511235
14,19,93.531451
-30,5,93.538273
-6,3,93.540503
-10,5,93.547106
-1,11,93.558331
12,22,93.583127
-33,2,93.585798
19,12,93.602833
4,3,93.610361
1,5,93.616475
16,34,93.666753
-3,7,93.674843
15,12,93.691935
12,11,93.711643
-4,2,93.71349
-1,5,93.718107
-30,12,93.733206
-3,5,93.741307
10,15,93.756223
8,9,93.766237
21,32,93.801657
43,9,95.169807
141,20,95.18996
-4,9,95.199203
-3,3,95.204239
56,21,95.224712
60,24,95.247548
-38,2,95.249029
-4,3,95.253972
11,12,95.265094
17,14,95.279104
-24,16,95.296464
47,9,95.306583
7,14,95.319509
37,19,95.338517
1,3,95.340725
42,11,95.351284
49,37,95.388412
-2,4,95.394773
-28,20,95.414981
-28,11,95.425715
7,10,95.435634
6,13,95.447951
-24,10,95.457837
-27,5,95.461414
-5,2,95.465871
-1,3,95.468147
-3,3,95.470275
57,13,95.484922
6,4,95.487807
-4,2,95.489253
-40,4,95.494831
2,13,95.506749
-32,3,95.508993
0,3,95.511121
-33,2,95.515285
-4,2,95.516789
-31,12,95.529012
73,11,95.541361
-2,2,95.542948
-6,4,95.549775
-4,6,95.554853
-1,5,95.562533
18,18,95.583624
-25,18,95.602119
7,12,95.618481
1,4,95.621662
-5,1,95.622516
21,14,95.641211
-5,2,95.642799
24,22,95.66699
10,10,95.67728
-3,1,95.678052
-3,5,95.684372
-3,1,95.685172
11,19,95.704149
65,10,95.715022
-1,5,95.71898
-56,5,95.728096
1,7,95.73383
-18,17,95.753559
-29,7,95.761467
-17,17,95.776349
-6,5,95.782728
-50,10,95.792663
-19,23,95.814754
-7,2,95.816302
-27,16,95.833361
56,29,95.862385
70,40,95.912704
18,26,95.941042
-2,10,95.951069
45,34,95.986487
0,7,95.994411
2,4,95.997301
3,9,96.00702
9,8,96.015536
1,7,96.020516
-34,1,96.021278
43,35,96.058402
9,19,96.077518
3,6,96.081832
-2,3,96.08681
9,10,96.096704
9,11,96.107497
-3,1,96.108356
-5,1,96.109144
24,13,96.121137
-3,1,96.121918
0,6,96.129002
5,7,96.13679
61,20,96.15676
85,26,96.181236
-3,11,96.19186
-18,15,96.207965
-4,2,96.209467
-4,3,96.211597
4,12,96.225523
5,10,96.235376
-3,4,96.238342
-518,9,96.24852
105,16,96.267341
-13,15,96.282366
-16,19,96.304579
-6,1,96.305399
23,23,96.330301
0,4,96.33715
-5,3,96.339312
-15,13,96.352765
11,9,96.362162
-34,1,96.363486
-5,5,96.370532
-6,2,96.372142
-2,2,96.3736
7,9,96.38406
69,14,96.399881
-1,5,96.403434
0,6,96.41058
-21,9,96.419732
-1,5,96.423324
-23,15,96.439512
-14,23,96.461269
-8,4,96.464142
5,14,96.479541
16,11,96.490227
16,22,96.511251
-8,2,96.5128
-35,3,96.514934
4,7,96.522676
-34,1,96.523449
-4,8,96.532004
7,12,96.543244
3,13,96.558985
19,23,96.58188
34,26,96.607366
2,4,96.613562
68,17,96.631328
1,3,96.633576
77,29,96.662268
7,10,96.672886
-34,1,96.673721
-35,13,96.686095
7,15,96.703544
9,17,96.719932
8,16,96.738697
100,20,96.76123
40,22,96.782366
-7,4,96.788095
1,5,96.791661
8,10,96.801539
17,18,96.819976
42,27,96.84785
-3,3,96.850044
-4,3,96.852224
9,8,96.860739
28,45,96.904003
-7,2,96.908315
2,6,96.912728
-15,20,96.932902
-2,2,96.934406
34,24,96.959738
-5,7,96.967419
26,14,96.980321
48,16,96.997517
7,8,97.003152
17,10,97.013033
-22,23,97.037918
16,12,97.050687
10,23,97.072775
0,5,97.0798
0,8,97.085905
2,4,97.091847
60,31,97.131278
0,4,97.135618
-2,7,97.147607
8,9,97.16332
-28,3,97.166152
21,17,97.191221
-31,2,97.193081
-5,2,97.194674
-33,4,97.203653
-4,4,97.207658
37,8,97.220634
11,30,97.267518
5,5,97.272125
-5,1,97.277243
11,10,97.291504
9,8,97.299954
-5,1,97.301634
-4,7,97.313286
-1,4,97.321924
-1,5,97.328717
-37,3,97.333734
-39,1,97.335998
-4,2,97.344115
-3,1,97.345163
13,19,98.581819
24,46,98.631369
16,12,98.644358
56,21,98.669723
48,39,98.705645
0,3,98.71065
15,17,98.726573
-4,2,98.731141
-8,7,98.736207
8,17,98.753916
-24,11,98.764699
14,8,98.773242
-527,8,98.781719
10,11,98.7923
12,19,98.811478
-10,32,98.842446
6,16,98.859382
38,49,98.908546
-5,1,98.912937
-37,4,98.916037
-3,4,98.919711
69,33,98.959313
60,50,99.011297
21,25,99.036003
-39,1,99.036787
-3,2,99.038232
-1,5,99.044615
20,23,99.066411
-5,5,99.072855
28,24,99.095229
-4,4,99.10103
8,24,99.123573
13,11,99.134089
-38,2,99.135561
-33,2,99.137044
16,12,99.151051
-21,5,99.154679
-20,18,99.172866
9,12,99.184251
52,36,99.220514
18,25,99.243584
-28,3,99.248592
-59,2,99.250123
1,7,99.255028
7,16,99.272049
-23,19,99.290931
-4,3,99.293091
-5,2,99.294532
-6,1,99.298059
6,14,99.310708
4,12,99.321947
-4,5,99.328288
33,27,99.353106
-13,18,99.371376
20,11,99.381948
-8,5,99.388854
8,6,99.393115
10,9,99.402305
-2,3,99.407259
0,2,99.408802
-1,5,99.412364
-2,4,99.418293
15,22,99.440902
0,9,99.452026
2,5,99.457355
11,7,99.466317
28,19,99.489312
17,13,99.504302
-3,4,99.510078
-1,3,99.512331
10,10,99.52235
-7,2,99.523886
0,5,99.530247
4,5,99.533934
-5,1,99.53515
18,20,99.561804
-18,4,99.570779
-1,4,99.57557
9,21,99.60892
24,31,99.655231
4,26,99.694675
24,25,99.72972
0,4,99.738954
-20,10,99.753919
3,8,99.761779
126,17,99.788695
-44,12,99.805249
-28,3,99.812366
-31,5,99.816854
-24,10,99.828559
-15,18,99.847948
-4,7,99.856039
42,8,99.861874
-37,3,99.866936
0,5,99.870671
0,4,99.876459
2,8,99.88211
-1,5,99.888566
75,40,99.934782
9,7,99.945889
59,22,99.980857
1,3,99.984527
-5,1,99.985541
-38,2,99.988175
1,7,100.004862
15,16,100.031863
0,6,100.038693
1,3,100.045823
-28,6,100.051279
39,38,100.104396
-1,4,100.10926
31,4,100.117094
3,11,100.132015
2,15,100.15223
2,11,100.173721
16,16,100.192157
-6,1,100.193604
3,23,100.223154
-6,3,100.226387
-39,1,100.227224
18,15,100.243132
-54,4,100.250137
-5,5,100.254117
-4,4,100.261211
-6,1,100.262033
23,18,100.28825
-5,3,100.291281
14,9,100.307789
30,30,100.354399
-3,1,100.355463
19,32,100.4024
-5,4,100.411655
27,19,100.435558
1,12,100.456616
76,15,100.477236
5,10,100.491563
-6,1,100.492529
4,7,100.505652
45,11,100.520712
-5,1,100.52161
-1,35,100.567293
19,18,100.584491
13,18,100.602955
-2,2,100.604477
-33,2,100.60946
-2,14,100.629303
12,15,100.652419
14,13,100.672383
-4,3,100.675932
-7,8,100.688404
-38,4,100.693194
-6,6,100.702921
21,16,100.728805
-1,7,100.736042
-3,4,100.744778
4,14,100.763378
