#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
-21,16,49.818859
-6,1,49.819857
1,3,49.823798
5,11,49.838959
3,15,49.864893
-5,1,49.866556
-15,26,49.909034
4,12,49.925117
7,9,49.936397
7,13,49.950431
11,17,49.970928
15,14,49.985009
-2,4,49.988917
-4,2,49.994125
6,14,50.011634
18,17,50.032066
-4,2,50.033889
16,20,50.053489
-11,12,50.065369
-59,3,50.067526
16,16,50.083707
-3,3,50.085904
0,7,50.093211
6,20,50.112181
-6,1,50.112995
3,10,50.122413
28,18,50.14488
14,20,50.173458
84,36,50.229816
-5,2,50.2328
39,16,50.251862
23,21,51.595225
5,10,51.605171
11,19,51.623665
2,11,51.633927
6,11,51.646433
13,20,51.665192
-63,2,51.666672
-6,1,51.667423
-22,9,51.676112
51,25,51.698153
0,10,51.708135
1,3,51.712703
-42,33,51.747556
-55,4,51.750488
49,17,51.767156
-32,14,51.779297
-2,9,51.788033
11,12,51.798904
-4,9,51.807783
0,2,51.811609
2,4,51.814547
-1,4,51.817444
1,9,51.826287
19,21,51.845645
-26,7,51.852885
-4,4,51.855711
0,4,51.86088
-4,2,51.862328
13,15,51.87759
3,12,51.888487
-29,5,51.89209
-5,3,51.896551
-31,7,51.901558
2,18,51.919056
46,12,51.929826
-5,2,51.931356
-3,3,51.936578
-28,7,51.94197
6,8,51.952604
-3,8,51.962372
8,14,51.975305
3,10,51.984895
23,28,52.012003
-2,4,52.0182
-4,2,52.020217
-28,8,52.029884
8,22,52.053275
42,6,52.059506
7,11,52.07743
-5,2,52.080611
-5,2,52.082414
11,13,52.101068
-2,5,52.109213
-3,1,52.110313
-3,6,52.116766
10,8,52.128375
1,6,52.137912
24,36,52.186059
29,46,52.249939
-31,4,52.254726
-28,13,52.276454
16,31,52.319029
-2,2,52.320902
-7,5,52.330135
-40,6,52.33654
3,7,52.346731
-1,3,52.349572
23,32,52.383448
-6,1,52.384293
13,9,52.393779
-7,2,52.398476
-5,2,52.40013
-34,1,52.401201
9,11,52.413979
1,13,52.425959
-5,5,52.432589
-2,4,52.43615
30,44,52.491192
-4,2,52.492966
10,21,52.513107
9,19,52.531343
14,23,52.552371
-60,11,52.563865
7,8,52.572302
-26,4,52.575145
1,13,52.589027
8,8,52.59466
-9,3,52.599128
-3,6,52.603425
-7,2,52.607227
-1,3,52.609468
-3,3,52.611608
5,8,52.619595
-2,24,52.641442
9,7,52.648925
7,11,52.659817
76,12,52.671151
-24,6,52.677844
11,25,52.702809
12,11,52.715986
1,5,52.719958
-6,1,52.721273
-6,4,52.729486
-34,6,52.734298
-6,1,52.735102
20,25,52.763259
-3,3,52.765524
-1,5,52.771692
-28,5,52.775501
-4,4,52.778394
11,21,52.809629
-3,4,52.812744
12,12,52.824425
63,7,52.833083
4,9,52.842091
-59,2,52.843588
21,19,52.861704
6,10,52.871245
-34,1,52.872095
3,20,52.89296
66,9,52.901985
-6,3,52.90422
-5,1,52.904974
14,14,52.921084
-3,3,52.923299
55,67,52.98859
-3,7,52.993874
-1,6,53.000614
16,10,53.010063
12,21,53.031275
14,12,53.042158
40,10,53.051504
80,15,53.066748
1,4,53.069628
8,7,53.07701
-5,1,53.077815
-3,2,53.079264
146,25,53.103809
-4,4,53.106703
-2,5,53.112573
-5,1,53.113363
-4,5,53.116889
2,8,53.124895
4,10,53.134318
-1,4,53.137231
2,6,53.14392
-4,3,53.146073
7,20,53.164892
7,16,53.180825
-34,1,53.181605
27,32,53.211162
13,20,53.230051
-34,6,53.236912
-47,13,53.24877
2,5,53.254696
81,20,53.273452
5,10,53.282826
-61,1,53.283621
11,16,53.297459
1,5,53.303779
-29,7,53.308789
16,16,53.324964
30,31,53.353646
6,13,53.365248
41,60,53.421237
-1,6,53.427881
-17,12,53.438792
1,11,53.448975
20,28,53.475471
-25,11,53.485797
-61,5,53.492733
-12,4,53.495584
3,8,53.503802
-2,2,53.505288
26,43,53.545199
9,8,53.553317
41,11,53.563474
-3,3,53.568006
-4,4,53.570886
-5,4,53.573851
-39,1,53.576975
4,9,53.583369
-6,1,53.586503
13,28,53.610691
-31,13,53.624578
12,16,53.638207
16,17,53.656081
24,21,53.678255
-4,2,53.679718
-5,1,53.680534
-20,22,53.70535
10,20,55.001032
-13,18,55.016681
10,10,55.026704
19,32,55.061551
0,11,55.072006
5,16,55.085702
-4,6,55.092447
-3,6,55.096682
7,19,55.114657
-15,13,55.128559
-6,1,55.129374
15,30,55.157644
15,18,55.174918
-5,1,55.176111
23,22,55.197755
-60,2,55.199225
20,23,55.220245
2,11,55.230378
-5,5,55.236482
0,5,55.240053
8,9,55.249575
83,34,55.283432
29,57,55.338039
-34,1,55.341878
-3,1,55.343005
-2,6,55.347414
46,24,55.372029
11,41,55.409883
4,10,55.419261
30,24,55.440953
1,7,55.448323
-5,1,55.449089
3,11,55.459078
32,22,55.479112
-34,3,55.483584
19,25,55.507491
-5,2,55.509005
13,9,55.517844
13,6,55.525387
1,5,55.529075
0,8,55.538477
-5,2,55.540103
16,27,55.567189
61,55,55.617395
-51,13,55.631341
-20,15,55.644353
-1,8,55.652422
4,7,55.659736
12,18,55.677202
17,22,55.698908
-5,27,55.728157
9,6,55.735743
1,13,55.748057
-46,23,55.77434
76,24,55.804665
2,4,55.809349
-61,1,55.814247
27,61,55.903918
3,14,55.92319
3,8,55.936537
-39,1,55.937512
46,11,55.953862
-14,20,55.984693
-1,4,55.988516
4,5,55.998008
0,9,56.01142
18,30,56.054703
-2,7,56.065646
52,19,56.085731
-4,2,56.089977
-33,3,56.092539
-29,5,56.096337
29,34,56.130624
-34,8,56.139901
-5,1,56.141192
14,17,56.156042
-7,2,56.159971
6,8,56.165597
-5,2,56.169464
-7,3,56.171611
9,32,56.20128
60,4,56.206523
2,9,56.212973
-5,4,56.218159
12,23,56.239071
-2,8,56.247135
-5,1,56.24792
16,13,56.259323
96,27,56.285341
-6,1,56.286115
34,39,56.32387
-35,3,56.326055
0,6,56.332671
84,25,56.354901
-38,2,56.358787
-3,2,56.360305
-1,3,56.36244
9,12,56.373221
-28,7,56.38055
10,11,56.390661
-7,6,56.397271
-2,15,56.410746
-39,3,56.415556
-3,6,56.420071
6,8,56.428207
14,16,56.444462
2,6,56.448912
-4,11,56.45915
3,8,56.467282
-18,24,56.488994
12,22,56.511592
-30,4,56.514517
2,10,56.524085
19,24,56.545675
-10,21,56.567401
75,17,56.581685
-6,1,56.58246
-7,4,56.587705
-26,8,56.595659
20,15,56.608523
62,6,56.615497
4,7,56.620488
5,8,56.628559
3,6,56.635233
-2,5,56.638813
6,24,56.662864
1,6,56.667132
42,45,56.721621
6,12,56.741175
12,13,56.758582
-30,5,56.768667
-6,1,56.769742
-4,2,56.771491
66,20,56.799591
9,12,56.815961
-3,3,56.823667
-6,1,56.824926
59,11,56.842221
10,18,56.871101
129,14,56.892779
84,37,56.946517
-13,28,56.984067
-45,24,57.018673
-34,1,57.019497
0,6,57.027689
-7,5,57.031602
-66,6,57.038766
-37,6,57.043368
5,8,57.051608
62,45,57.095776
-3,3,57.09798
42,6,57.102204
-528,6,57.10887
1,6,57.115502
14,17,57.13003
9,12,57.143319
21,18,57.158476
8,24,58.43301
31,20,58.452449
-32,4,58.455495
77,18,58.473226
-33,9,58.482058
-11,22,58.50222
-2,4,58.50513
61,21,58.526857
-6,3,58.529096
-3,7,58.536442
9,26,58.559526
-2,2,58.561062
26,22,58.584223
31,46,58.626864
15,15,58.643703
1,12,58.656019
67,10,58.666617
-6,1,58.667427
-39,1,58.668257
-34,7,58.676865
21,19,58.696393
-4,18,58.713005
12,13,58.728507
5,8,58.736883
-33,2,58.738386
16,16,58.753216
66,26,58.779083
5,7,58.786467
60,9,58.79516
-2,2,58.796703
79,42,58.837781
8,16,58.853838
-523,10,58.864003
-26,5,58.868052
4,10,58.877915
20,22,58.89823
-6,1,58.899011
-3,1,58.899788
20,23,58.923314
10,6,58.928701
-36,4,58.93428
5,7,58.939367
-6,1,58.943552
5,12,58.955376
-2,9,58.964308
7,13,58.978228
-1,3,58.980495
-1,12,58.992242
18,25,59.017355
8,17,59.034106
-5,2,59.035614
3,3,59.037797
6,8,59.0458
2,6,59.052518
-2,2,59.054019
18,19,59.072327
-29,10,59.082937
-17,19,59.10305
5,10,59.113882
12,14,59.126761
21,22,59.148241
-7,2,59.149741
23,17,59.169319
-3,3,59.171616
-39,1,59.172459
13,10,59.182648
46,45,59.227912
-17,18,59.249703
8,10,59.260617
58,4,59.263643
-26,8,59.271898
9,13,59.28348
7,13,59.298446
7,21,59.318908
4,10,59.328423
2,8,59.334078
88,30,59.362501
-4,3,59.367121
3,10,59.378099
7,10,59.387905
-2,2,59.390107
-34,1,59.391162
-32,4,59.394131
-1,5,59.401377
-57,7,59.409263
-35,9,59.418219
-2,6,59.422529
21,23,59.443732
1,5,59.449705
18,15,59.462891
8,11,59.475434
